Attaching 2 probes...
start: 186573363314582
domain: WRITE, depth: 1, timestamp: 187033128009493
domain: WRITE, depth: 2, timestamp: 187033232012039
domain: WRITE, depth: 1, timestamp: 187033440011720
domain: WRITE, depth: 2, timestamp: 187033544011689
domain: WRITE, depth: 1, timestamp: 187033860008262
domain: WRITE, depth: 2, timestamp: 187033964007380
domain: WRITE, depth: 1, timestamp: 187034484008840
domain: WRITE, depth: 2, timestamp: 187034588009122
domain: WRITE, depth: 1, timestamp: 187034796008529
domain: WRITE, depth: 2, timestamp: 187034904007672
domain: WRITE, depth: 1, timestamp: 187035216008788
domain: WRITE, depth: 2, timestamp: 187035320010152
domain: WRITE, depth: 1, timestamp: 187035636013161
domain: WRITE, depth: 2, timestamp: 187035740008514
domain: WRITE, depth: 1, timestamp: 187035948007911
domain: WRITE, depth: 2, timestamp: 187036052009995
domain: WRITE, depth: 1, timestamp: 187036260010569
domain: WRITE, depth: 2, timestamp: 187036364011791
domain: WRITE, depth: 1, timestamp: 187036780011431
domain: WRITE, depth: 2, timestamp: 187036884012098
domain: WRITE, depth: 1, timestamp: 187037100009204
domain: WRITE, depth: 2, timestamp: 187037208008014
domain: WRITE, depth: 1, timestamp: 187037416010457
domain: WRITE, depth: 2, timestamp: 187037520011205
domain: WRITE, depth: 1, timestamp: 187037728011713
domain: WRITE, depth: 2, timestamp: 187037832010218
domain: WRITE, depth: 1, timestamp: 187038144007923
domain: WRITE, depth: 2, timestamp: 187038248009199
domain: WRITE, depth: 1, timestamp: 187038564007759
domain: WRITE, depth: 2, timestamp: 187038668009046
domain: WRITE, depth: 1, timestamp: 187038880008438
domain: WRITE, depth: 2, timestamp: 187038988007813
domain: WRITE, depth: 1, timestamp: 187039508013012
domain: WRITE, depth: 2, timestamp: 187039612012695
domain: WRITE, depth: 1, timestamp: 187039820012835
domain: WRITE, depth: 2, timestamp: 187039924011709
domain: WRITE, depth: 1, timestamp: 187040132011488
domain: WRITE, depth: 2, timestamp: 187040236008529
domain: WRITE, depth: 1, timestamp: 187040444010724
domain: WRITE, depth: 2, timestamp: 187040548012570
domain: WRITE, depth: 1, timestamp: 187040756015028
domain: WRITE, depth: 2, timestamp: 187040860011292
domain: WRITE, depth: 1, timestamp: 187041276011324
domain: WRITE, depth: 2, timestamp: 187041380012003
domain: WRITE, depth: 1, timestamp: 187041588012166
domain: WRITE, depth: 2, timestamp: 187041692012027
domain: WRITE, depth: 1, timestamp: 187041900012490
domain: WRITE, depth: 2, timestamp: 187042004010525
domain: WRITE, depth: 1, timestamp: 187042212009644
domain: WRITE, depth: 2, timestamp: 187042316011013
domain: WRITE, depth: 1, timestamp: 187042524009283
domain: WRITE, depth: 2, timestamp: 187042628009194
domain: WRITE, depth: 1, timestamp: 187042836011391
domain: WRITE, depth: 2, timestamp: 187042940009139
domain: WRITE, depth: 1, timestamp: 187043356008241
domain: WRITE, depth: 2, timestamp: 187043460011713
domain: WRITE, depth: 1, timestamp: 187044300008997
domain: WRITE, depth: 2, timestamp: 187044408008170
domain: WRITE, depth: 1, timestamp: 187044720010240
domain: WRITE, depth: 2, timestamp: 187044824011607
domain: WRITE, depth: 1, timestamp: 187045032010004
domain: WRITE, depth: 2, timestamp: 187045136012075
